"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"LBBL","2024-01-25","401","404","400","402.5","0.12 %","20,514.00"
"LEC","2024-01-25","210","218.2","205.8","211","0.48 %","134,916.00"
"LEMF","2024-01-25","9.12","9.14","8.97","9.07","-0.55 %","14,750.00"
"LICN","2024-01-25","1400","1414","1388.6","1389.1","-0.14 %","2,418.00"
"LIFEINSU","2024-01-25","10665.1","10724.32","10590.36","10619.19","-0.43 %","299,027,287.20"
"LLBS","2024-01-25","760.1","785","745","772","-0.25 %","3,094.00"
"LSL","2024-01-25","171.5","174.9","168.7","168.7","-0.65 %","63,299.00"
"LUK","2024-01-25","8.39","8.56","8.39","8.56","0.00 %","1,100.00"
"LVF2","2024-01-25","8","8.42","7.95","8.29","2.35 %","25,358.00"
"MAKAR","2024-01-25","361.6","387","347.4","374.1","5.50 %","120,451.00"
"MANDU","2024-01-25","686","699","680","699","-0.14 %","13,068.00"
"MANUFACTURE","2024-01-25","5805.64","5871.42","5785.42","5809.53","-0.10 %","188,321,901.20"
"MBJC","2024-01-25","315","324.9","307.5","320","0.00 %","44,322.00"
"MBL","2024-01-25","194","194","190.3","192.8","0.42 %","68,163.00"
"MCHL","2024-01-25","305","318","305","311.9","0.61 %","9,057.00"
"MDB","2024-01-25","415","421","408","412.6","-0.34 %","17,751.00"
"MEHL","2024-01-25","293","296","280.3","289.6","-0.48 %","22,221.00"
"MEL","2024-01-25","225","234.5","225","226.2","-0.92 %","52,092.00"
"MEN","2024-01-25","625","632","618.1","619.6","-0.23 %","114,574.00"
"MERO","2024-01-25","578","578","556.2","565","-0.35 %","2,285.00"
"MFIL","2024-01-25","510","520","510","511","-0.39 %","13,903.00"
"MHCL","2024-01-25","500","509.2","481.5","509","1.80 %","47,736.00"
"MHL","2024-01-25","415","439","407","439","4.52 %","9,058.00"
"MHNL","2024-01-25","266","268","261","264.9","1.46 %","58,218.00"
"MICROFINANCE","2024-01-25","3781.89","3789.28","3735.26","3764.38","-0.49 %","119,476,278.70"
"MKCL","2024-01-25","1015","1025","973.3","990","-2.94 %","34,647.00"
"MKHC","2024-01-25","275","280","264.6","270","-3.23 %","31,110.00"
